Source: http://www.hockey-reference.com/leagues/NHL_2014_games.html
Date,Visitor,G,Home,G,,Notes
2013-11-19,Tampa Bay Lightning,2,Los Angeles Kings,5,,
2013-11-19,Minnesota Wild,2,Montreal Canadiens,6,,
2013-11-19,Boston Bruins,2,New York Rangers,1,,
2013-11-19,Ottawa Senators,2,Philadelphia Flyers,5,,
2013-11-19,New York Islanders,2,Toronto Maple Leafs,5,,
2013-11-19,Florida Panthers,3,Vancouver Canucks,2,SO,
2013-11-20,New Jersey Devils,4,Anaheim Ducks,3,OT,
2013-11-20,Columbus Blue Jackets,2,Calgary Flames,1,OT,
2013-11-20,Minnesota Wild,4,Ottawa Senators,3,,
2013-11-20,Pittsburgh Penguins,4,Washington Capitals,0,,
2013-11-21,St. Louis Blues,3,Boston Bruins,2,SO,
2013-11-21,New York Rangers,3,Dallas Stars,2,,
2013-11-21,Carolina Hurricanes,3,Detroit Red Wings,4,,
2013-11-21,Florida Panthers,1,Edmonton Oilers,4,,
2013-11-21,New Jersey Devils,2,Los Angeles Kings,1,OT,
2013-11-21,Buffalo Sabres,1,Philadelphia Flyers,4,,
2013-11-21,Colorado Avalanche,4,Phoenix Coyotes,3,OT,
2013-11-21,Tampa Bay Lightning,1,San Jose Sharks,5,,
2013-11-21,Nashville Predators,4,Toronto Maple Leafs,2,,
2013-11-21,Chicago Blackhawks,6,Winnipeg Jets,3,,
2013-11-22,Tampa Bay Lightning,0,Anaheim Ducks,1,OT,
2013-11-22,Florida Panthers,3,Calgary Flames,4,SO,
2013-11-22,New York Islanders,3,Pittsburgh Penguins,4,,
2013-11-22,Columbus Blue Jackets,2,Vancouver Canucks,6,,
2013-11-22,Montreal Canadiens,3,Washington Capitals,2,,
2013-11-23,Carolina Hurricanes,2,Boston Bruins,3,OT,
2013-11-23,Ottawa Senators,4,Detroit Red Wings,2,,
2013-11-23,Colorado Avalanche,1,Los Angeles Kings,0,OT,
2013-11-23,Pittsburgh Penguins,2,Montreal Canadiens,3,,
2013-11-23,New York Rangers,2,Nashville Predators,0,,
2013-11-23,New York Islanders,2,Philadelphia Flyers,5,,
2013-11-23,Anaheim Ducks,4,Phoenix Coyotes,2,,
2013-11-23,New Jersey Devils,1,San Jose Sharks,2,,
2013-11-23,Dallas Stars,1,St. Louis Blues,6,,
2013-11-23,Washington Capitals,1,Toronto Maple Leafs,2,SO,
2013-11-23,Chicago Blackhawks,2,Vancouver Canucks,1,,
2013-11-23,Minnesota Wild,3,Winnipeg Jets,2,SO,
2013-11-24,Detroit Red Wings,3,Buffalo Sabres,1,,
2013-11-24,Ottawa Senators,1,Carolina Hurricanes,4,,
2013-11-25,Pittsburgh Penguins,3,Boston Bruins,4,OT,
2013-11-25,Chicago Blackhawks,5,Edmonton Oilers,1,,
2013-11-25,Philadelphia Flyers,1,Florida Panthers,3,,
2013-11-25,Winnipeg Jets,3,New Jersey Devils,1,,
2013-11-25,Phoenix Coyotes,2,Nashville Predators,4,,
2013-11-25,Minnesota Wild,0,St. Louis Blues,3,,
2013-11-25,New York Rangers,0,Tampa Bay Lightning,5,,
2013-11-25,Columbus Blue Jackets,6,Toronto Maple Leafs,0,,
2013-11-25,Los Angeles Kings,3,Vancouver Canucks,2,OT,
2013-11-26,Anaheim Ducks,3,Dallas Stars,6,,
2013-11-27,Montreal Canadiens,3,Buffalo Sabres,1,,
2013-11-27,Nashville Predators,4,Columbus Blue Jackets,0,,
2013-11-27,Chicago Blackhawks,3,Calgary Flames,2,,
2013-11-27,St. Louis Blues,4,Colorado Avalanche,1,,
2013-11-27,Boston Bruins,1,Detroit Red Wings,6,,
2013-11-27,New York Rangers,5,Florida Panthers,2,,
2013-11-27,Phoenix Coyotes,3,Minnesota Wild,1,,
2013-11-27,Carolina Hurricanes,4,New Jersey Devils,3,,
2013-11-27,Winnipeg Jets,3,New York Islanders,2,,
2013-11-27,Toronto Maple Leafs,5,Pittsburgh Penguins,6,SO,
2013-11-27,Los Angeles Kings,2,San Jose Sharks,3,SO,
